title,synopsis_en,
The Roommates,"The Roommates is a comedy-drama film that follows the lives of four friends who move in together as roommates in a big city. The film explores the challenges and joys of living with close friends, as well as the ups and downs of navigating young adulthood. The roommates come from different backgrounds and have unique personalities, which leads to both hilarious and tense moments as they learn to live together and support each other through their personal struggles. As they navigate their way through relationships, career struggles, and the general chaos of city life, they discover that the true meaning of friendship is being there for each other, no matter what.",Jan 9 version
Bowery Battalion,"Bowery Battalion is a story about a group of men from the Bowery neighborhood in New York City who band together to form a volunteer military unit during World War II. Despite facing discrimination and prejudices from both their own community and the army, the Bowery Battalion fights bravely on the front lines, proving their worth and earning the respect of their fellow soldiers. Through their struggles and triumphs, the men learn the true meaning of brotherhood and sacrifice. Ultimately, the Bowery Battalion becomes a symbol of hope and determination for the people of the Bowery and for all Americans.",Jan 9 version
The Man In Black,"The Man In Black is a suspenseful thriller about a mysterious figure dressed entirely in black who begins to terrorize a small town. As the townsfolk struggle to uncover his identity and motive, they soon realize that he may be connected to a dark secret from their past. As the body count rises and tensions mount, a determined detective and a local journalist race against time to stop the Man in Black before he can strike again. But when they finally come face to face with the killer, they are shocked to discover that the truth is far more twisted than they could have ever imagined.",Jan 9 version
Grandmother's House,"Grandmother's House tells the story of a young girl, Emma, who goes to stay with her grandmother in a remote countryside house during summer vacation. As Emma explores the house and the surrounding woods, she discovers secrets and mysteries about her family's past. She also forms a close bond with her grandmother, who tells her stories about her own youth and reveals the truth about Emma's deceased parents. Emma's time at the house ultimately helps her come to terms with her grief and find a new sense of belonging.",Jan 9 version
Winter Journey,"Winter Journey follows the story of a young couple, Alex and Samantha, as they embark on a treacherous winter journey through the mountains. Stranded and alone, they must confront their personal demons and the harsh reality of the elements as they fight to survive and find their way back home. Along the way, they discover the true meaning of love, sacrifice, and the human spirit. Will they make it back alive or will the winter's cold be their demise? A heartwarming and emotional story about the power of love and the strength of the human spirit in the face of adversity.",Jan 9 version
Adventures Of Johnny Tao,"Adventures of Johnny Tao is a thrilling action-adventure story following the journey of a young man named Johnny, who discovers he is the last descendant of a powerful ancient Chinese dynasty. With his newfound knowledge and abilities, Johnny sets out on a quest to uncover the truth about his heritage and to defeat the evil forces that threaten to destroy the world. Along the way, he forms alliances with a diverse group of allies and faces off against formidable foes, using his wits and martial arts skills to overcome impossible odds. The story is filled with action, humor, and heart, making it a thrilling ride for readers of all ages.",Jan 9 version
The Children Of Sanchez,"The Children of Sanchez is a dramatic story about a poor Mexican-American family living in the barrios of East Los Angeles. The patriarch, Juan Sanchez, struggles to provide for his five children and keep them out of trouble while dealing with the daily challenges of living in a neighborhood plagued by poverty and gang violence. Despite the odds stacked against them, the Sanchez family remains close-knit and determined to overcome their difficulties. But when Juan is suddenly taken from them, the children are forced to come together and learn to fend for themselves, ultimately discovering the true meaning of family and the strength of their bonds.",Jan 9 version
The Escort,"The Escort is a thrilling drama about a high-powered businesswoman who, in order to secure a big promotion, hires a male escort to pose as her boyfriend at a important work function. As they spend more time together, the lines between business and pleasure begin to blur, leading to unexpected consequences for both of them. With steamy romance and cutthroat corporate politics, The Escort keeps audiences on the edge of their seats until the very end.",Jan 9 version
The Other Side,"The Other Side tells the story of a man who, after losing everything and everyone he loves, is given the opportunity to start over on a mysterious and seemingly idyllic alternate reality. As he begins to settle into his new life, he begins to uncover dark secrets and conspiracies lurking beneath the surface of this utopia, forcing him to question whether or not he truly wants to stay on ""The Other Side."" Will he choose to stay in this paradise, or risk everything to go back to his own world?",Jan 9 version
Another Chance,"Another Chance follows the story of a man named Jack who, after years of living a reckless and selfish lifestyle, loses everything that matters to him. Desperate to turn his life around, he reaches out to his estranged brother, who offers him a job and a place to stay. As Jack works to rebuild his relationships and his future, he must confront the mistakes of his past and learn to forgive himself. Along the way, he discovers the true meaning of family, redemption, and second chances.",Jan 9 version
The Sea Gypsies,"The Sea Gypsies is a story about a group of nomadic sailors who live on their boats and travel the seas, seeking adventure and freedom. The main character, a young woman named Isla, joins the crew and learns about their way of life, facing challenges and discovering the beauty of the ocean and the bonds of the tight-knit community. Along the way, they encounter rival ships and treacherous storms, but ultimately find a sense of belonging and purpose on the open water.",Jan 9 version
Gone With The West,"Gone With The West is a western adventure story about a notorious outlaw who, after years of living on the run, decides to retire and settle down on a ranch in the western frontier. However, his past catches up with him when a group of former associates come looking for him, forcing him to confront his violent past and make a decision about his future. The story is filled with action, romance, and themes of redemption as the protagonist struggles to find peace and a sense of belonging in the harsh and unforgiving west.",Jan 9 version
Light Blast,"Light Blast is a sci-fi action thriller about a team of scientists who discover a new energy source that harnesses the power of light. However, when a rival corporation learns of their breakthrough, they will stop at nothing to acquire the technology for themselves, even if it means destroying the team and the entire city. The protagonist, a brilliant but unorthodox lead researcher, must race against time to protect his team and the city from the rival corporation's ruthless attack, all while trying to perfect the technology and save the world from an impending energy crisis. The story explores themes of innovation, greed, and the consequences of playing with the power of the unknown.",Jan 9 version
My Family And Other Animals,"My Family and Other Animals is a memoir by Gerald Durrell, published in 1956, which recounts his childhood living on the Greek island of Corfu with his eccentric and unconventional family, as well as the various animals they kept as pets. The book is a humorous and nostalgic look at a childhood spent surrounded by nature, and the many colorful characters that populated the island. The memoir is filled with memories of the Durrell family's adventures and misadventures, including the collection of exotic animals for the Durrell Zoo, and the family's encounters with the island's local people, customs and culture.",Jan 9 version
Love Laughs At Andy Hardy,"Love Laughs at Andy Hardy is a romantic comedy film that follows the story of Andy Hardy, a small-town boy who is head-over-heels in love with a local girl, Betsy. However, things get complicated when a new girl, Kay, moves to town and catches Andy's eye. As Andy struggles to choose between Betsy and Kay, he learns valuable lessons about love, loyalty, and growing up. With a charming cast of characters and plenty of laughs, ""Love Laughs at Andy Hardy"" is a heartwarming and entertaining movie.",Jan 9 version
Everything But The Truth,"Everything But The Truth is a gripping drama about a young journalist, Emily, who uncovers a web of lies and deception while investigating a high-profile political scandal. As she delves deeper into the story, Emily discovers that the truth is far more complicated than she ever imagined, and that some powerful people will do anything to keep it hidden. With her career and her life on the line, Emily must navigate a dangerous game of cat and mouse to uncover the truth and bring those responsible to justice. Will she succeed, or will the truth forever remain out of reach?",Jan 9 version
Operation Snatch,"Operation Snatch is a thrilling action-adventure film about a team of elite special forces operatives who are tasked with a dangerous mission to infiltrate and extract a high-value target from a heavily guarded enemy compound. Led by their skilled and determined leader, the team must navigate a series of obstacles and outsmart the enemy at every turn. But as they get closer to their objective, they realize that the true stakes of their mission are even higher than they imagined, and they'll have to fight tooth and nail to complete their objective and make it out alive. With pulse-pounding action, intense suspense, and a powerhouse cast, ""Operation Snatch"" is a must-see film for fans of the genre.",Jan 9 version
The Last Married Couple In America,"The Last Married Couple In America is a dystopian story set in a future society where marriage has become obsolete. The protagonist is a couple who are one of the last few remaining married couples in the country. They struggle to maintain their relationship amidst societal pressure to divorce and conform to the norm of non-monogamous relationships. As they fight to keep their love alive, they begin to question the true meaning of commitment and the importance of tradition in an ever-evolving world. Ultimately, they must decide whether to give in to societal pressure or to fight for their love and their marriage in the face of overwhelming odds.",Jan 9 version
Charley's (big-hearted) Aunt,"Charley's (big-hearted) Aunt is a comedy about a college student named Charley who invites his aunt, who is known for her big heart, to visit him at school. However, when she arrives, Charley discovers that she is not who he thought she was and must come up with a plan to keep her identity a secret. Along the way, Charley learns important life lessons about love, family, and acceptance. The play is filled with humor, heart, and unexpected twists that will keep the audience entertained throughout.",Jan 9 version
Family Life,"Family Life is a story about the struggles and joys of a modern family as they navigate through the challenges of raising children, maintaining relationships, and pursuing their individual dreams. The story follows the ups and downs of the main characters as they learn to balance their responsibilities and desires, while dealing with the everyday struggles of work, school, and finances. Through it all, they learn to rely on each other and the power of family to overcome any obstacle. Ultimately, ""Family Life"" is a heartwarming and relatable tale of love, sacrifice, and the bonds that hold a family together.",Jan 9 version
Out Of Singapore,"Out of Singapore is a story about a young man named Jack, who has always felt confined by the strict societal expectations of his small island nation. Despite his successful career in finance, Jack feels unfulfilled and yearns for adventure and freedom. One day, he makes the impulsive decision to quit his job and travel the world. As he embarks on a journey of self-discovery, he discovers the true meaning of freedom and learns to appreciate the beauty and diversity of the world. Along the way, Jack faces many challenges and obstacles, but ultimately finds the courage to pursue his dreams and leave his past behind. ""Out of Singapore"" is a coming-of-age tale that explores the themes of identity, freedom, and the search for one's true self.",Jan 9 version
Woodpecker In The Rough,"Woodpecker In The Rough is a story about a determined woodpecker who faces numerous challenges as he searches for the perfect tree to call home. Despite facing obstacles such as fierce predators and harsh weather conditions, the woodpecker never gives up on his quest. Along the way, he forms unlikely friendships and learns valuable lessons about perseverance and the importance of determination. In the end, the woodpecker's hard work pays off and he finally finds his perfect home.",Jan 9 version
The Fox Of Glenarvon,"The Fox of Glenarvon is a historical romance novel set in 18th century Ireland. The story follows the beautiful and headstrong Lady Caroline Lamb, who becomes infatuated with the mysterious and brooding Lord Byron. As their love affair heats up, Lady Caroline must navigate the dangerous political landscape of Ireland and the disapproval of her powerful family. Meanwhile, a fox has been causing problems in the Glenarvon estate, and the local villagers are eager to hunt it down. As the fox evades capture, it becomes a symbol of the wildness and freedom that Lady Caroline craves in her own life. Will she be able to break free from societal expectations and follow her heart, or will she be trapped by the constraints of her station?",Jan 9 version
Beware Of Pickpockets,"Beware of Pickpockets is a crime thriller about a group of professional pickpockets who prey on unsuspecting tourists in a major city. The story follows a young detective who is determined to put an end to their criminal enterprise. As she delves deeper into the case, she uncovers a web of lies and corruption that threatens to derail her investigation. With time running out, she must race against the clock to stop the pickpockets and bring them to justice before they strike again. Will she be able to put an end to their reign of theft or will she become their next victim?",Jan 9 version
Life Love Death,"Life Love Death is a dramatic film that follows the journey of a young woman named Emma as she navigates the ups and downs of life, love, and death. After losing her mother to cancer, Emma is left feeling lost and alone. She finds solace in a new romance, but as she falls deeper in love, she is faced with the harsh reality that nothing in life is permanent. As she struggles to come to terms with the fragility of life and the inevitability of death, Emma must learn to find meaning and purpose in the face of tragedy. Through her journey, she learns that true love is not just about finding someone, but about accepting and embracing the impermanence of life and cherishing every moment.",Jan 9 version
Dancing In The Dark,"Dancing in the Dark is a story about a young woman named Mia who has always been afraid of the dark. She has never been able to sleep alone in a room without the lights on and has never ventured outside at night. One day, Mia is forced to confront her fears when she loses her job and is evicted from her apartment. With nowhere else to go, she is forced to move into a run-down house in the middle of the woods, where she discovers that the darkness holds a secret that will change her life forever. As she begins to explore the woods at night, she discovers a hidden world of magic and wonder, and discovers that the darkness is not something to be feared, but to be embraced. Along the way, she learns to dance in the dark and embraces the beauty and power of the unknown.",Jan 9 version
The Balloon Goes Up,"The Balloon Goes Up is a story about a young boy named Timmy who is given a large, colorful balloon as a gift from his parents. Excited to play with his new toy, Timmy takes the balloon outside to fly it. However, as he lets go of the string, the wind carries the balloon away. Determined to get his balloon back, Timmy sets off on a journey to chase after it, facing various obstacles and challenges along the way. Will Timmy be able to retrieve his beloved balloon, or will it be gone forever? This heartwarming tale of determination and adventure is sure to delight children and adults alike.",Jan 9 version
Hunting Season,"Hunting Season is a thrilling drama about a group of friends who embark on a hunting trip in the remote wilderness, but their adventure takes a deadly turn when they become the hunted. As they struggle to survive against an unknown predator, tensions rise and secrets are revealed, testing the bonds of friendship and trust. With nowhere to turn and no way to call for help, the hunters must outsmart and outlast their attacker before it's too late. Will they make it out alive, or will they become the prey?",Jan 9 version
Part Time Wife,"Part Time Wife is a romantic comedy about a young couple, Jane and John, who are struggling to balance their busy careers with their relationship. Jane and John are both highly successful in their respective fields, but they find that they have little time for each other. Desperate to save their marriage, they come up with a unique solution: they will divide their time equally between their careers and their relationship, becoming ""part time"" spouses. As they navigate this new arrangement, they learn to appreciate each other in new ways and discover that true love can thrive in unexpected ways. Along the way, they encounter a cast of quirky characters, including Jane's overbearing boss and John's eccentric co-workers, who add to the comedic hijinks and heartwarming moments of the story.",Jan 9 version
The Turners Of Prospect Road,"The Turners of Prospect Road is a heartwarming story about a family living on a quiet street in a small town. The Turner family, consisting of parents Jack and Susan and their three children, have lived on Prospect Road for generations and are well-known and loved by their neighbors. The story follows the family as they navigate the ups and downs of life, from the joys of raising their children to the struggles of dealing with illness and loss. Through it all, the Turners remain a tight-knit and loving family, supporting each other through the good times and the bad. As their children grow up and move away, the Turners are faced with the possibility of leaving their beloved Prospect Road. Will they stay and continue the family legacy or will they move on to new adventures? The Turners of Prospect Road is a story of love, family, and the importance of home.",Jan 9 version
Josephine And Men,"Josephine and Men is a romantic comedy-drama film that follows the life of Josephine, a young and independent woman who is on the search for true love. She goes on a series of dates with different men, each one more disastrous than the last. As she struggles to find the right person, she begins to question her own worth and whether true love even exists. Along the way, she meets and befriends a group of women who help her to understand that true love is not about finding the perfect person, but about loving yourself first. Ultimately, Josephine learns that true love is not about finding the perfect person, but about loving yourself first.",Jan 9 version
Reach The Rock,"Reach The Rock is a thrilling adventure story about a group of friends who set out on a journey to climb a legendary mountain known as ""The Rock"". The mountain is said to be unclimbable, and the group is determined to be the first to reach the summit. Along the way, they face many challenges, including treacherous weather, dangerous wildlife, and personal conflicts. As they push themselves to the limit, they must also confront their own fears and limitations. But through determination and teamwork, they finally reach the summit and achieve their goal. The story is a testament to the power of the human spirit and the importance of perseverance in the face of adversity.",Jan 9 version
Black Heat,"Black Heat is a thrilling action-adventure story set in a post-apocalyptic world where the sun has grown unstable and scorches the earth with intense heat. The story follows a small group of survivors who must navigate through this harsh environment and outsmart rival factions in order to secure the resources they need to survive. As they journey through the scorched landscape, they must also confront the inner demons that threaten to tear them apart. With intense action, nail-biting suspense, and a touch of romance, ""Black Heat"" is a story of survival and the lengths people will go to in order to protect the ones they love.",Jan 9 version
The Guinea Pig,"The Guinea Pig is a story about a young scientist who conducts controversial experiments on animal subjects, specifically guinea pigs. As the scientist delves deeper into their research, they begin to question the morality of their actions and the true cost of their pursuit for knowledge. The story explores themes of ethics in scientific experimentation and the consequences of blindly chasing progress. As the experiments take a dangerous turn, the scientist must confront the reality of their actions and decide whether the ends justify the means. Ultimately, ""The Guinea Pig"" is a thought-provoking tale that challenges the reader to consider the impact of science on both animals and humanity.",Jan 9 version
The Beast In The Cellar,"The Beast In The Cellar is a thriller about a family who moves into a new home, only to discover that there is a terrifying creature living in the basement. As they struggle to come to terms with their new houseguest, they also must confront the secrets and lies that have been keeping them apart. As tensions rise and the creature becomes more aggressive, the family must come together to find a way to destroy the beast before it destroys them. The story is an intense and suspenseful journey of a family who is trying to survive the terror of the beast in the cellar.",Jan 9 version
Abby Sen,"Abby Sen is a heartwarming story about a man named Abby, who is a successful businessman but is struggling to find meaning in his life. One day, he discovers that he has a son named Sen, who was born out of an old relationship. Abby is determined to be a part of Sen's life and starts to spend more time with him. As he gets to know his son, Abby begins to realize that family is the most important thing in life. With the help of Sen, Abby starts to find happiness and fulfillment in his life. The story is a journey of self-discovery and the importance of family.",Jan 9 version
The Call Of The North,"The Call of the North is a story about a young man named Jack who feels unfulfilled in his mundane city life. He longs for adventure and a sense of purpose. One day, he hears a call from the wilds of the north, a place that has always been calling to him, and he knows he must go. He sets out on a journey to find his true self, facing challenges and overcoming obstacles along the way. Along the way, he discovers a love for the wilderness, and the rugged beauty of the north. He also finds a new sense of purpose in life, as he dedicates himself to protecting the land and its inhabitants. In the end, Jack realizes that the call of the north was not just a physical journey, but a journey to find himself and his place in the world.",Jan 9 version
Daughter Of The Jungle,"Daughter of the Jungle is the story of a young woman who, after growing up in the city, returns to the jungle where her parents were once researchers. As she reconnects with her roots and the wild surroundings, she discovers secrets about her family's past and her own identity, ultimately leading her on a journey of self-discovery and empowerment. She must confront the challenges of the jungle and the darker aspects of her family's history, but ultimately emerges stronger and more in touch with her true self.",Jan 9 version
Up With The Lark,"Up With The Lark is a heartwarming story about a young woman named Lark who is struggling to find her place in the world. After a series of setbacks and disappointments, she decides to take a solo trip to the countryside to clear her mind and gain some perspective. Along the way, she meets a kind and wise old farmer who teaches her the importance of hard work, perseverance, and the beauty of living in harmony with nature. Lark begins to see the world in a new light and learns that the most important thing in life is to never give up on your dreams. She returns home with a renewed sense of hope and determination, ready to take on whatever life throws her way.",Jan 9 version
The Moth Of Moonbi,"The Moth of Moonbi tells the story of a small town nestled in the hills of Australia, where strange occurrences have been reported for years. The locals attribute the strange events to the presence of a mysterious moth that only appears at night. The townspeople believe the moth to be a harbinger of bad luck and try to avoid it at all costs. However, when a young girl named Mia moves to Moonbi with her family, she becomes fascinated by the moth and sets out to discover the truth behind its presence. With the help of her new friends, she uncovers a shocking secret about the town's past and the moth's true nature. Together, they must confront the town's dark history and find a way to put the past to rest before the moth's curse destroys them all.",Jan 9 version
Chasing Rainbows,"Chasing Rainbows is a story about a young woman named Rebecca who is struggling to find her place in the world. She has always felt like she doesn't quite fit in, and has never been able to shake the feeling that there is something more out there for her. One day, she comes across an old photograph of a beautiful rainbow and is struck by a sense of longing and longing to chase after it. Rebecca sets out on a journey to find the rainbow and along the way, she discovers a lot about herself, her past, and her future. She meets a cast of characters who help her to understand that chasing rainbows is not just about finding something beautiful, but about finding oneself. Ultimately, Rebecca learns that the true rainbow is the one that lies within her.",Jan 9 version
Born Again,"Born Again is a story about a man who, after experiencing a near-death experience, discovers a new sense of purpose and meaning in his life. Struggling with addiction and a sense of emptiness, the main character hits rock bottom before having a transformative experience that leads him on a journey of self-discovery and redemption. Along the way, he must confront his past mistakes and learn to forgive himself and others. Ultimately, he emerges as a born-again individual, determined to live his life with integrity and fulfillment.",Jan 9 version
Gone Are The Dayes,"Gone Are The Days is a dramatic story about a family that must come to terms with the passing of their patriarch. As the family struggles to cope with their loss, they are forced to confront the secrets and regrets of the past, and the uncertain future that lies ahead. Through a series of flashbacks and emotional confrontations, the family must learn to let go of the past and find a way to move forward together. As they come to understand the true meaning of love and forgiveness, they must also come to accept that some things, like the memories of their loved one, will always be with them, but that the pain of their loss will eventually fade, and they will find a way to live their lives without him.",Jan 9 version
Queen Of The Jungle,"Queen of the Jungle is a thrilling adventure story about a young woman named Samantha who sets out to explore the Amazon rainforest. Despite facing numerous challenges and obstacles along the way, she is determined to uncover the secrets of the jungle and prove her worth as a true adventurer. Along the way, she meets a diverse cast of characters, including a wise shaman, a rugged hunter, and a mysterious tribeswoman who becomes her guide and mentor. Through her journey, Samantha discovers her inner strength and courage, and ultimately earns the title of ""Queen of the Jungle."" The story is a celebration of the beauty and power of nature, and the indomitable spirit of the human spirit.",Jan 9 version
Smiling Irish Eyes,"Smiling Irish Eyes is a heartwarming tale about a young Irish woman named Aoife who, despite facing adversity and personal struggles, never loses her infectious sense of hope and positivity. As she navigates the ups and downs of life in her small Irish village, Aoife's unwavering optimism and sparkling personality bring joy to all those around her, including a charming American tourist who is unexpectedly captivated by her spirit. Together, they embark on a journey of self-discovery and true love, learning that a smile can truly change everything.",Jan 9 version
The Diamond,"The Diamond is a thrilling story about a young woman named Claire who discovers a valuable diamond in her backyard. As she tries to uncover the truth about its origin, she finds herself caught in a web of deception, greed, and danger. With the help of a mysterious stranger, she must navigate through a dangerous underworld of thieves and smugglers to uncover the truth and protect her newfound treasure. Will she be able to keep the diamond and uncover the truth, or will she fall victim to those who will stop at nothing to get their hands on it?",Jan 9 version
The Miniver Story,"The Miniver Story is a heartwarming tale of a middle-class British family during World War II. The Minivers, led by matriarch Kay and her husband Clem, must navigate the challenges of everyday life in a war-torn country, from rationing and air raids to the loss of loved ones. Despite the hardships they face, the family remains strong and united, with their love and determination helping them to overcome any obstacle. Along the way, they also learn valuable lessons about sacrifice, courage, and the true meaning of family. ""The Miniver Story"" is a powerful reminder of the resilience of the human spirit in the face of adversity.",Jan 9 version
The Art Of Self Defense,"The Art of Self Defense is a dark comedy that follows the story of a timid and socially awkward man who, after being attacked on the street, becomes obsessed with learning the art of karate in order to protect himself. As he delves deeper into the world of martial arts, he begins to lose himself in the macho culture and becomes increasingly aggressive and violent. Eventually, he must confront the true nature of strength and the cost of attaining it.",Jan 9 version
Cool School,"Cool School is a comedy-drama about a group of students at a high school who are determined to make their school the coolest in the district. Led by the charismatic and ambitious student council president, the students work together to organize events, fundraisers, and other activities to boost their school's reputation. Along the way, they face challenges from rival schools and their own administration, but ultimately prove that with creativity and determination, anything is possible. With a diverse and relatable cast of characters, ""Cool School"" is a heartwarming and inspiring story about the power of teamwork and the importance of being true to oneself.",Jan 9 version
